Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Aug 23 2025, 01:00:00",50.03,14.75,147.50,245.77,2457.70,0.18,4415870.00,241.09,1.72,0.64
III Year B-Wing,"Aug 23 2025, 00:00:00",50.03,14.49,144.90,245.51,2455.10,0.18,4415610.00,240.98,1.72,0.64
III Year B-Wing,"Aug 22 2025, 23:00:00",49.98,27.76,277.60,245.25,2452.50,0.18,4415350.00,239.10,1.70,0.64
III Year B-Wing,"Aug 22 2025, 22:00:00",50.08,27.50,275.00,244.99,2449.90,0.18,4415090.00,238.30,1.69,0.64
III Year B-Wing,"Aug 22 2025, 21:00:00",50.04,27.24,272.40,244.73,2447.30,0.18,4414830.00,239.48,1.71,0.64
III Year B-Wing,"Aug 22 2025, 20:00:00",50.04,26.98,269.80,244.47,2444.70,0.18,4414570.00,240.50,1.72,0.64
III Year B-Wing,"Aug 22 2025, 19:00:00",50.08,26.59,265.90,244.08,2440.80,0.18,4414179.50,238.13,2.46,0.86
III Year B-Wing,"Aug 22 2025, 18:00:00",50.12,26.10,261.00,243.59,2435.90,0.18,4413690.00,242.80,1.59,1.00
III Year B-Wing,"Aug 22 2025, 17:00:00",50.07,25.72,257.20,243.21,2432.10,0.18,4413310.00,238.61,1.60,1.00
III Year B-Wing,"Aug 22 2025, 16:00:00",50.00,25.34,253.40,242.83,2428.30,0.18,4412929.50,238.58,1.60,1.00
III Year B-Wing,"Aug 22 2025, 15:00:00",50.03,24.63,246.30,242.12,2421.20,0.18,4412219.50,235.76,4.07,-1.00
III Year B-Wing,"Aug 22 2025, 14:00:00",50.03,23.67,236.70,241.16,2411.60,0.18,4411260.00,237.70,4.08,-1.00
III Year B-Wing,"Aug 22 2025, 13:00:00",50.04,22.27,222.70,239.76,2397.60,0.18,4409860.00,234.28,3.67,-1.00
III Year B-Wing,"Aug 22 2025, 12:00:00",50.04,20.67,206.70,238.16,2381.60,0.18,4408260.00,232.45,8.99,-1.00
III Year B-Wing,"Aug 22 2025, 11:00:00",50.01,18.61,186.10,236.10,2361.00,0.18,4406199.50,229.78,8.83,-1.00
III Year B-Wing,"Aug 22 2025, 10:00:00",50.01,16.61,166.10,234.10,2341.00,0.18,4404199.50,227.47,8.84,-1.00
III Year B-Wing,"Aug 22 2025, 09:00:00",50.06,15.31,153.10,232.80,2328.00,0.17,4402900.00,238.08,4.42,-1.00
III Year B-Wing,"Aug 22 2025, 08:00:00",50.04,14.46,144.60,231.95,2319.50,0.17,4402050.00,241.53,0.59,0.94
III Year B-Wing,"Aug 22 2025, 07:00:00",50.04,14.33,143.30,231.82,2318.20,0.17,4401920.00,239.00,0.58,0.94
III Year B-Wing,"Aug 22 2025, 06:00:00",50.09,14.19,141.90,231.68,2316.80,0.17,4401780.00,240.43,0.58,0.94
III Year B-Wing,"Aug 22 2025, 05:00:00",50.06,14.06,140.60,231.55,2315.50,0.17,4401650.00,240.82,0.58,0.94
III Year B-Wing,"Aug 22 2025, 04:00:00",49.97,13.93,139.30,231.42,2314.20,0.17,4401520.00,241.63,0.59,0.94
III Year B-Wing,"Aug 22 2025, 03:00:00",49.95,13.80,138.00,231.29,2312.90,0.17,4401389.50,241.47,0.58,0.94
III Year B-Wing,"Aug 22 2025, 02:00:00",50.01,13.66,136.60,231.15,2311.50,0.17,4401250.00,243.70,0.59,0.94
III Year B-Wing,"Aug 22 2025, 01:00:00",49.99,13.53,135.30,231.02,2310.20,0.17,4401120.00,242.88,0.59,0.94
III Year B-Wing,"Aug 22 2025, 00:00:00",50.05,13.39,133.90,230.88,2308.80,0.17,4400980.00,240.57,0.58,0.94
III Year B-Wing,"Aug 21 2025, 23:00:00",50.04,27.61,276.10,230.75,2307.50,0.17,4400850.00,242.52,0.59,0.94
III Year B-Wing,"Aug 21 2025, 22:00:00",50.03,27.48,274.80,230.62,2306.20,0.17,4400719.50,238.20,0.58,0.94
III Year B-Wing,"Aug 21 2025, 21:00:00",49.97,27.35,273.50,230.49,2304.90,0.17,4400590.00,240.58,0.58,0.94
III Year B-Wing,"Aug 21 2025, 20:00:00",50.03,27.22,272.20,230.36,2303.60,0.17,4400460.00,243.29,0.59,0.94
III Year B-Wing,"Aug 21 2025, 19:00:00",49.77,27.08,270.80,230.22,2302.20,0.17,4400320.00,240.98,0.59,0.94
III Year B-Wing,"Aug 21 2025, 18:00:00",50.12,26.70,267.00,229.84,2298.40,0.17,4399940.00,239.17,1.77,1.00
III Year B-Wing,"Aug 21 2025, 17:00:00",50.03,26.44,264.40,229.58,2295.80,0.17,4399679.50,237.70,0.93,0.98
III Year B-Wing,"Aug 21 2025, 15:00:00",49.98,24.77,247.70,227.91,2279.10,0.17,4398010.00,232.93,7.22,-1.00
III Year B-Wing,"Aug 21 2025, 14:00:00",50.05,23.07,230.70,226.21,2262.10,0.17,4396310.00,234.32,6.92,-1.00
III Year B-Wing,"Aug 21 2025, 13:00:00",50.14,21.91,219.10,225.05,2250.50,0.17,4395150.00,238.83,3.09,-1.00
III Year B-Wing,"Aug 21 2025, 12:00:00",49.86,20.65,206.50,223.79,2237.90,0.17,4393889.50,235.52,3.95,-1.00
III Year B-Wing,"Aug 21 2025, 11:00:00",49.94,20.08,200.80,223.22,2232.20,0.17,4393320.00,240.12,1.24,0.99
III Year B-Wing,"Aug 21 2025, 10:00:00",49.95,19.77,197.70,222.91,2229.10,0.17,4393010.00,238.40,2.05,1.00
III Year B-Wing,"Aug 21 2025, 09:00:00",50.00,18.45,184.50,221.59,2215.90,0.17,4391690.00,233.30,6.32,-1.00
III Year B-Wing,"Aug 21 2025, 08:00:00",50.12,16.74,167.40,219.88,2198.80,0.16,4389980.00,238.81,3.01,-1.00
III Year B-Wing,"Aug 21 2025, 07:00:00",50.02,16.40,164.00,219.54,2195.40,0.16,4389639.50,237.18,2.42,0.58
III Year B-Wing,"Aug 21 2025, 06:00:00",50.07,16.06,160.60,219.20,2192.00,0.16,4389300.00,238.90,2.45,0.58
III Year B-Wing,"Aug 21 2025, 05:00:00",50.06,15.72,157.20,218.86,2188.60,0.16,4388960.00,239.21,2.45,0.58
III Year B-Wing,"Aug 21 2025, 04:00:00",50.02,15.38,153.80,218.52,2185.20,0.16,4388620.00,241.14,2.49,0.57
III Year B-Wing,"Aug 21 2025, 03:00:00",50.06,15.04,150.40,218.18,2181.80,0.16,4388280.00,240.22,2.47,0.57
III Year B-Wing,"Aug 21 2025, 02:00:00",50.04,14.70,147.00,217.84,2178.40,0.16,4387940.00,240.63,2.48,0.57
III Year B-Wing,"Aug 21 2025, 01:00:00",49.97,14.36,143.60,217.50,2175.00,0.16,4387600.00,241.33,2.49,0.57
III Year B-Wing,"Aug 21 2025, 00:00:00",50.00,14.01,140.10,217.15,2171.50,0.16,4387250.00,240.43,2.48,0.57
III Year B-Wing,"Aug 20 2025, 23:00:00",49.99,26.24,262.40,216.81,2168.10,0.16,4386909.50,240.55,2.48,0.57
III Year B-Wing,"Aug 20 2025, 22:00:00",50.04,25.90,259.00,216.47,2164.70,0.16,4386570.00,239.01,2.45,0.58
III Year B-Wing,"Aug 20 2025, 21:00:00",49.86,25.64,256.40,216.21,2162.10,0.16,4386310.00,239.07,0.58,0.94
III Year B-Wing,"Aug 20 2025, 20:00:00",49.91,25.50,255.00,216.07,2160.70,0.16,4386170.00,241.78,0.59,0.94
III Year B-Wing,"Aug 20 2025, 19:00:00",49.96,25.37,253.70,215.94,2159.40,0.16,4386040.00,239.00,0.58,0.94
III Year B-Wing,"Aug 20 2025, 18:00:00",50.04,25.24,252.40,215.81,2158.10,0.16,4385909.50,240.51,0.58,0.94
III Year B-Wing,"Aug 20 2025, 17:00:00",50.00,24.92,249.20,215.49,2154.90,0.16,4385590.00,240.36,1.59,1.00
III Year B-Wing,"Aug 20 2025, 16:00:00",50.09,24.54,245.40,215.11,2151.10,0.16,4385210.00,244.17,1.60,1.00
III Year B-Wing,"Aug 20 2025, 15:00:00",50.08,22.88,228.80,213.45,2134.50,0.16,4383550.00,237.92,5.84,-1.00
III Year B-Wing,"Aug 20 2025, 14:00:00",50.26,21.48,214.80,212.05,2120.50,0.16,4382150.00,235.48,7.24,-1.00
III Year B-Wing,"Aug 20 2025, 13:00:00",50.23,19.91,199.10,210.48,2104.80,0.16,4380580.00,239.51,5.16,-1.00
III Year B-Wing,"Aug 20 2025, 12:00:00",50.07,18.71,187.10,209.28,2092.80,0.16,4379380.00,241.14,4.83,-1.00
III Year B-Wing,"Aug 20 2025, 11:00:00",50.01,17.18,171.80,207.75,2077.50,0.16,4377850.00,234.89,7.40,-1.00
III Year B-Wing,"Aug 20 2025, 10:00:00",50.14,15.45,154.50,206.02,2060.20,0.15,4376120.00,236.39,7.07,-1.00
III Year B-Wing,"Aug 20 2025, 09:00:00",50.07,14.31,143.10,204.88,2048.80,0.15,4374980.00,235.14,4.05,-1.00
III Year B-Wing,"Aug 20 2025, 08:00:00",50.07,13.50,135.00,204.07,2040.70,0.15,4374170.00,242.01,0.60,0.95
III Year B-Wing,"Aug 20 2025, 07:00:00",49.99,13.37,133.70,203.94,2039.40,0.15,4374040.00,237.35,0.58,0.94
III Year B-Wing,"Aug 20 2025, 06:00:00",50.05,13.24,132.40,203.81,2038.10,0.15,4373909.50,238.66,0.58,0.94
III Year B-Wing,"Aug 20 2025, 05:00:00",50.06,13.10,131.00,203.67,2036.70,0.15,4373770.00,240.82,0.58,0.94
III Year B-Wing,"Aug 20 2025, 04:00:00",50.04,12.97,129.70,203.54,2035.40,0.15,4373639.50,241.02,0.58,0.94
III Year B-Wing,"Aug 20 2025, 03:00:00",49.92,12.84,128.40,203.41,2034.10,0.15,4373510.00,242.64,0.59,0.94
III Year B-Wing,"Aug 20 2025, 02:00:00",49.93,12.70,127.00,203.27,2032.70,0.15,4373370.00,242.05,0.58,0.94
III Year B-Wing,"Aug 20 2025, 01:00:00",49.97,12.57,125.70,203.14,2031.40,0.15,4373239.50,241.03,0.59,0.94
III Year B-Wing,"Aug 20 2025, 00:00:00",50.04,12.44,124.40,203.01,2030.10,0.15,4373110.00,241.30,0.59,0.94
III Year B-Wing,"Aug 19 2025, 23:00:00",50.01,26.98,269.80,202.87,2028.70,0.15,4372969.50,242.23,0.59,0.94
III Year B-Wing,"Aug 19 2025, 22:00:00",50.08,26.85,268.50,202.74,2027.40,0.15,4372840.00,239.84,0.58,0.94
III Year B-Wing,"Aug 19 2025, 20:00:00",50.04,26.59,265.90,202.48,2024.80,0.15,4372580.00,240.33,0.58,0.94
III Year B-Wing,"Aug 19 2025, 19:00:00",50.04,26.45,264.50,202.34,2023.40,0.15,4372440.00,242.83,0.59,0.94
III Year B-Wing,"Aug 19 2025, 18:00:00",50.14,26.32,263.20,202.21,2022.10,0.15,4372310.00,241.91,0.59,0.94
III Year B-Wing,"Aug 19 2025, 17:00:00",50.07,26.09,260.90,201.98,2019.80,0.15,4372080.00,238.74,1.76,1.00
III Year B-Wing,"Aug 19 2025, 16:00:00",50.05,25.68,256.80,201.57,2015.70,0.15,4371670.00,235.15,1.78,1.00
III Year B-Wing,"Aug 19 2025, 15:00:00",50.06,24.90,249.00,200.79,2007.90,0.15,4370889.50,235.35,5.34,-1.00
III Year B-Wing,"Aug 19 2025, 14:00:00",50.08,23.42,234.20,199.31,1993.10,0.15,4369409.50,233.17,8.60,-1.00
III Year B-Wing,"Aug 19 2025, 13:00:00",50.13,21.40,214.00,197.29,1972.90,0.15,4367389.50,236.73,8.89,-1.00
III Year B-Wing,"Aug 19 2025, 12:00:00",49.98,19.37,193.70,195.26,1952.60,0.15,4365360.00,235.99,8.55,-1.00
III Year B-Wing,"Aug 19 2025, 11:00:00",50.00,18.39,183.90,194.28,1942.80,0.15,4364380.00,238.12,3.67,-1.00
III Year B-Wing,"Aug 19 2025, 10:00:00",50.02,17.52,175.20,193.41,1934.10,0.15,4363510.00,235.12,3.74,-1.00
III Year B-Wing,"Aug 19 2025, 09:00:00",49.97,16.53,165.30,192.42,1924.20,0.14,4362520.00,236.53,4.41,-1.00
III Year B-Wing,"Aug 19 2025, 08:00:00",50.09,15.60,156.00,191.49,1914.90,0.14,4361590.00,241.84,0.59,0.94
III Year B-Wing,"Aug 19 2025, 07:00:00",50.05,15.47,154.70,191.36,1913.60,0.14,4361460.00,239.90,0.58,0.94
III Year B-Wing,"Aug 19 2025, 06:00:00",50.07,15.34,153.40,191.23,1912.30,0.14,4361330.00,240.79,0.58,0.94
III Year B-Wing,"Aug 19 2025, 05:00:00",50.07,15.21,152.10,191.10,1911.00,0.14,4361199.50,236.80,0.58,0.95
III Year B-Wing,"Aug 19 2025, 04:00:00",49.99,15.08,150.80,190.97,1909.70,0.14,4361070.00,240.33,0.58,0.94
III Year B-Wing,"Aug 19 2025, 03:00:00",50.00,14.95,149.50,190.84,1908.40,0.14,4360940.00,243.62,0.59,0.94
III Year B-Wing,"Aug 19 2025, 02:00:00",50.02,14.81,148.10,190.70,1907.00,0.14,4360800.00,242.45,0.59,0.94
III Year B-Wing,"Aug 19 2025, 01:00:00",50.03,14.68,146.80,190.57,1905.70,0.14,4360670.00,243.40,0.59,0.94
III Year B-Wing,"Aug 19 2025, 00:00:00",49.97,14.55,145.50,190.44,1904.40,0.14,4360540.00,241.78,0.59,0.94
III Year B-Wing,"Aug 18 2025, 23:00:00",50.02,17.59,175.90,190.30,1903.00,0.14,4360400.00,241.12,0.59,0.94
III Year B-Wing,"Aug 18 2025, 22:00:00",50.04,17.46,174.60,190.17,1901.70,0.14,4360270.00,240.90,0.59,0.94
III Year B-Wing,"Aug 18 2025, 21:00:00",50.03,17.33,173.30,190.04,1900.40,0.14,4360139.50,240.43,0.58,0.94
III Year B-Wing,"Aug 18 2025, 20:00:00",50.09,17.19,171.90,189.90,1899.00,0.14,4360000.00,242.12,0.58,0.94
III Year B-Wing,"Aug 18 2025, 19:00:00",50.07,17.06,170.60,189.77,1897.70,0.14,4359870.00,241.10,0.58,0.94
III Year B-Wing,"Aug 18 2025, 18:00:00",49.98,16.93,169.30,189.64,1896.40,0.14,4359739.50,241.10,0.58,0.94
III Year B-Wing,"Aug 18 2025, 17:00:00",49.98,16.79,167.90,189.50,1895.00,0.14,4359600.00,241.55,0.59,0.94
III Year B-Wing,"Aug 18 2025, 15:00:00",50.07,15.80,158.00,188.51,1885.10,0.14,4358610.00,231.46,8.86,-1.00
III Year B-Wing,"Aug 18 2025, 14:00:00",49.98,13.78,137.80,186.49,1864.90,0.14,4356590.00,234.44,8.87,-1.00
III Year B-Wing,"Aug 18 2025, 13:00:00",50.13,11.69,116.90,184.40,1844.00,0.14,4354500.00,236.88,8.88,-1.00
III Year B-Wing,"Aug 18 2025, 12:00:00",50.04,9.84,98.40,182.55,1825.50,0.14,4352650.00,237.87,5.78,-1.00
III Year B-Wing,"Aug 18 2025, 11:00:00",49.96,8.21,82.10,180.92,1809.20,0.14,4351020.00,236.70,6.44,-1.00
III Year B-Wing,"Aug 18 2025, 10:00:00",50.04,6.34,63.40,179.05,1790.50,0.13,4349150.00,232.81,8.89,-1.00
III Year B-Wing,"Aug 18 2025, 09:00:00",50.08,4.89,48.90,177.60,1776.00,0.13,4347699.50,235.10,4.41,-1.00
III Year B-Wing,"Aug 18 2025, 08:00:00",50.00,4.07,40.70,176.78,1767.80,0.13,4346880.00,236.63,0.59,0.95
III Year B-Wing,"Aug 18 2025, 07:00:00",49.99,3.96,39.60,176.67,1766.70,0.13,4346770.00,240.76,0.58,0.94
III Year B-Wing,"Aug 18 2025, 06:00:00",50.03,3.86,38.60,176.57,1765.70,0.13,4346670.00,240.30,0.58,0.94
III Year B-Wing,"Aug 18 2025, 05:00:00",50.06,3.72,37.20,176.43,1764.30,0.13,4346530.00,243.73,0.59,0.94
III Year B-Wing,"Aug 18 2025, 04:00:00",49.93,3.59,35.90,176.30,1763.00,0.13,4346400.00,244.48,0.59,0.94
III Year B-Wing,"Aug 18 2025, 03:00:00",49.98,3.45,34.50,176.16,1761.60,0.13,4346260.00,244.87,0.59,0.94
III Year B-Wing,"Aug 18 2025, 02:00:00",50.00,3.31,33.10,176.02,1760.20,0.13,4346120.00,244.62,0.59,0.94
III Year B-Wing,"Aug 18 2025, 01:00:00",50.03,3.18,31.80,175.89,1758.90,0.13,4345989.50,243.98,0.59,0.94
III Year B-Wing,"Aug 17 2025, 23:00:00",50.03,6.00,60.00,175.62,1756.20,0.13,4345719.50,244.18,0.59,0.94
III Year B-Wing,"Aug 17 2025, 22:00:00",50.09,5.86,58.60,175.48,1754.80,0.13,4345580.00,240.50,0.58,0.94
III Year B-Wing,"Aug 17 2025, 21:00:00",50.02,5.73,57.30,175.35,1753.50,0.13,4345449.50,238.81,0.58,0.94
III Year B-Wing,"Aug 17 2025, 20:00:00",50.00,5.60,56.00,175.22,1752.20,0.13,4345320.00,238.47,0.58,0.94
III Year B-Wing,"Aug 17 2025, 19:00:00",49.92,5.47,54.70,175.09,1750.90,0.13,4345190.00,240.33,0.59,0.94
III Year B-Wing,"Aug 17 2025, 18:00:00",50.08,5.37,53.70,174.99,1749.90,0.13,4345090.00,240.78,0.59,0.94
III Year B-Wing,"Aug 17 2025, 17:00:00",50.05,5.23,52.30,174.85,1748.50,0.13,4344949.50,243.96,0.59,0.94
III Year B-Wing,"Aug 17 2025, 16:00:00",50.06,5.10,51.00,174.72,1747.20,0.13,4344820.00,243.40,0.59,0.94
III Year B-Wing,"Aug 17 2025, 15:00:00",49.99,4.96,49.60,174.58,1745.80,0.13,4344679.50,242.74,0.59,0.94
III Year B-Wing,"Aug 17 2025, 14:00:00",49.99,4.83,48.30,174.45,1744.50,0.13,4344550.00,241.47,0.58,0.94
III Year B-Wing,"Aug 17 2025, 13:00:00",50.07,4.69,46.90,174.31,1743.10,0.13,4344409.50,243.67,0.59,0.94
III Year B-Wing,"Aug 17 2025, 12:00:00",49.98,4.56,45.60,174.18,1741.80,0.13,4344280.00,241.53,0.59,0.94
III Year B-Wing,"Aug 17 2025, 11:00:00",49.98,4.43,44.30,174.05,1740.50,0.13,4344150.00,243.20,0.59,0.94
III Year B-Wing,"Aug 17 2025, 10:00:00",50.05,4.29,42.90,173.91,1739.10,0.13,4344010.00,241.24,0.58,0.94
III Year B-Wing,"Aug 17 2025, 09:00:00",50.06,4.16,41.60,173.78,1737.80,0.13,4343880.00,240.65,0.59,0.94
III Year B-Wing,"Aug 17 2025, 08:00:00",50.05,4.03,40.30,173.65,1736.50,0.13,4343750.00,240.03,0.58,0.94
III Year B-Wing,"Aug 17 2025, 07:00:00",49.98,3.89,38.90,173.51,1735.10,0.13,4343610.00,238.39,0.58,0.94
III Year B-Wing,"Aug 17 2025, 06:00:00",50.07,3.76,37.60,173.38,1733.80,0.13,4343480.00,239.56,0.58,0.94
III Year B-Wing,"Aug 17 2025, 05:00:00",50.05,3.63,36.30,173.25,1732.50,0.13,4343350.00,245.22,0.59,0.94
III Year B-Wing,"Aug 17 2025, 04:00:00",50.05,3.50,35.00,173.12,1731.20,0.13,4343219.50,244.73,0.59,0.94
III Year B-Wing,"Aug 17 2025, 03:00:00",50.01,3.36,33.60,172.98,1729.80,0.13,4343080.00,243.50,0.59,0.94
III Year B-Wing,"Aug 17 2025, 02:00:00",50.06,3.22,32.20,172.84,1728.40,0.13,4342940.00,242.56,0.59,0.94
III Year B-Wing,"Aug 17 2025, 01:00:00",49.97,3.09,30.90,172.71,1727.10,0.13,4342810.00,244.29,0.59,0.94
III Year B-Wing,"Aug 17 2025, 00:00:00",49.98,2.96,29.60,172.58,1725.80,0.13,4342679.50,243.53,0.59,0.94
III Year B-Wing,"Aug 16 2025, 23:00:00",50.05,5.98,59.80,172.44,1724.40,0.13,4342540.00,242.60,0.58,0.94
III Year B-Wing,"Aug 16 2025, 21:00:00",50.01,5.72,57.20,172.18,1721.80,0.13,4342280.00,240.14,0.58,0.94
III Year B-Wing,"Aug 16 2025, 19:00:00",50.00,5.46,54.60,171.92,1719.20,0.13,4342020.00,240.09,0.58,0.94
III Year B-Wing,"Aug 16 2025, 18:00:00",50.13,5.33,53.30,171.79,1717.90,0.13,4341889.50,239.95,0.59,0.94
III Year B-Wing,"Aug 16 2025, 17:00:00",50.03,5.21,52.10,171.67,1716.70,0.13,4341770.00,236.81,0.58,0.94
III Year B-Wing,"Aug 16 2025, 16:00:00",49.99,5.08,50.80,171.54,1715.40,0.13,4341639.50,237.38,0.58,0.94
III Year B-Wing,"Aug 16 2025, 15:00:00",50.02,4.95,49.50,171.41,1714.10,0.13,4341510.00,238.46,0.58,0.94
III Year B-Wing,"Aug 16 2025, 14:00:00",49.98,4.82,48.20,171.28,1712.80,0.13,4341380.00,236.95,0.58,0.94
III Year B-Wing,"Aug 16 2025, 13:00:00",50.00,4.69,46.90,171.15,1711.50,0.13,4341250.00,237.17,0.58,0.94
III Year B-Wing,"Aug 16 2025, 11:00:00",50.01,4.46,44.60,170.92,1709.20,0.13,4341020.00,238.39,0.59,0.95
III Year B-Wing,"Aug 16 2025, 10:00:00",49.91,4.36,43.60,170.82,1708.20,0.13,4340920.00,239.62,0.58,0.94
III Year B-Wing,"Aug 16 2025, 09:00:00",49.95,4.22,42.20,170.68,1706.80,0.13,4340780.00,242.16,0.59,0.94
III Year B-Wing,"Aug 16 2025, 08:00:00",50.01,4.09,40.90,170.55,1705.50,0.13,4340650.00,239.13,0.58,0.94
III Year B-Wing,"Aug 16 2025, 06:00:00",50.07,3.83,38.30,170.29,1702.90,0.13,4340389.50,239.62,0.58,0.94
III Year B-Wing,"Aug 16 2025, 05:00:00",50.06,3.70,37.00,170.16,1701.60,0.13,4340260.00,241.44,0.58,0.94
III Year B-Wing,"Aug 16 2025, 04:00:00",50.03,3.56,35.60,170.02,1700.20,0.13,4340120.00,243.33,0.58,0.94
III Year B-Wing,"Aug 16 2025, 03:00:00",50.05,3.43,34.30,169.89,1698.90,0.13,4339989.50,242.99,0.59,0.94
III Year B-Wing,"Aug 16 2025, 02:00:00",50.06,3.29,32.90,169.75,1697.50,0.13,4339850.00,242.41,0.59,0.94
III Year B-Wing,"Aug 16 2025, 01:00:00",50.05,3.16,31.60,169.62,1696.20,0.13,4339719.50,243.77,0.59,0.94
III Year B-Wing,"Aug 16 2025, 00:00:00",50.02,3.02,30.20,169.48,1694.80,0.13,4339580.00,241.72,0.58,0.94
III Year B-Wing,"Aug 15 2025, 23:00:00",49.97,12.58,125.80,169.35,1693.50,0.13,4339449.50,241.87,0.59,0.94
III Year B-Wing,"Aug 15 2025, 22:00:00",50.05,12.45,124.50,169.22,1692.20,0.13,4339320.00,240.53,0.59,0.94
III Year B-Wing,"Aug 15 2025, 21:00:00",49.96,12.32,123.20,169.09,1690.90,0.13,4339190.00,240.53,0.58,0.94
III Year B-Wing,"Aug 15 2025, 20:00:00",50.01,12.18,121.80,168.95,1689.50,0.13,4339050.00,240.20,0.58,0.94
III Year B-Wing,"Aug 15 2025, 19:00:00",50.05,12.05,120.50,168.82,1688.20,0.13,4338920.00,239.09,0.58,0.94
III Year B-Wing,"Aug 15 2025, 18:00:00",50.04,11.92,119.20,168.69,1686.90,0.13,4338790.00,242.62,0.60,0.94
III Year B-Wing,"Aug 15 2025, 17:00:00",50.01,11.80,118.00,168.57,1685.70,0.13,4338670.00,237.26,0.58,0.95
III Year B-Wing,"Aug 15 2025, 16:00:00",49.77,11.68,116.80,168.45,1684.50,0.13,4338550.00,240.53,0.58,0.94
III Year B-Wing,"Aug 15 2025, 15:00:00",49.98,11.54,115.40,168.31,1683.10,0.13,4338409.50,241.78,0.59,0.94
III Year B-Wing,"Aug 15 2025, 14:00:00",50.04,11.41,114.10,168.18,1681.80,0.13,4338280.00,242.88,0.59,0.94
III Year B-Wing,"Aug 15 2025, 12:00:00",49.98,11.14,111.40,167.91,1679.10,0.13,4338010.00,245.43,0.59,0.94
III Year B-Wing,"Aug 15 2025, 11:00:00",50.03,11.00,110.00,167.77,1677.70,0.13,4337870.00,245.23,0.59,0.94
III Year B-Wing,"Aug 15 2025, 10:00:00",50.04,10.88,108.80,167.65,1676.50,0.13,4337750.00,240.14,0.58,0.94
III Year B-Wing,"Aug 15 2025, 09:00:00",50.09,10.75,107.50,167.52,1675.20,0.13,4337620.00,240.08,0.59,0.94
III Year B-Wing,"Aug 15 2025, 08:00:00",50.07,10.62,106.20,167.39,1673.90,0.13,4337489.50,240.17,0.58,0.94
III Year B-Wing,"Aug 15 2025, 07:00:00",50.10,10.48,104.80,167.25,1672.50,0.13,4337350.00,238.26,0.58,0.95
III Year B-Wing,"Aug 15 2025, 06:00:00",49.98,10.35,103.50,167.12,1671.20,0.13,4337219.50,237.80,0.58,0.94
III Year B-Wing,"Aug 15 2025, 05:00:00",49.99,10.22,102.20,166.99,1669.90,0.13,4337090.00,240.62,0.58,0.94
III Year B-Wing,"Aug 15 2025, 04:00:00",50.02,10.09,100.90,166.86,1668.60,0.13,4336960.00,240.73,0.58,0.94
III Year B-Wing,"Aug 15 2025, 03:00:00",50.04,9.96,99.60,166.73,1667.30,0.13,4336830.00,243.60,0.59,0.94
III Year B-Wing,"Aug 15 2025, 02:00:00",50.03,9.82,98.20,166.59,1665.90,0.12,4336690.00,242.65,0.59,0.94
III Year B-Wing,"Aug 15 2025, 01:00:00",49.92,9.69,96.90,166.46,1664.60,0.12,4336560.00,241.70,0.59,0.94
III Year B-Wing,"Aug 15 2025, 00:00:00",49.98,9.55,95.50,166.32,1663.20,0.12,4336420.00,240.78,0.58,0.94
III Year B-Wing,"Aug 14 2025, 23:00:00",49.99,20.83,208.30,166.19,1661.90,0.12,4336290.00,242.59,0.59,0.94
III Year B-Wing,"Aug 14 2025, 22:00:00",50.05,20.70,207.00,166.06,1660.60,0.12,4336159.50,240.76,0.59,0.94
III Year B-Wing,"Aug 14 2025, 21:00:00",50.01,20.56,205.60,165.92,1659.20,0.12,4336020.00,240.75,0.59,0.94
III Year B-Wing,"Aug 14 2025, 20:00:00",50.02,20.43,204.30,165.79,1657.90,0.12,4335889.50,243.16,0.59,0.94
III Year B-Wing,"Aug 14 2025, 19:00:00",49.77,20.30,203.00,165.66,1656.60,0.12,4335760.00,238.88,0.58,0.94
III Year B-Wing,"Aug 14 2025, 18:00:00",50.03,20.17,201.70,165.53,1655.30,0.12,4335630.00,242.35,0.59,0.94
III Year B-Wing,"Aug 14 2025, 17:00:00",49.89,20.03,200.30,165.39,1653.90,0.12,4335489.50,243.81,0.59,0.94
III Year B-Wing,"Aug 14 2025, 16:00:00",50.06,19.89,198.90,165.25,1652.50,0.12,4335350.00,243.69,0.59,0.94
III Year B-Wing,"Aug 14 2025, 15:00:00",50.04,19.31,193.10,164.67,1646.70,0.12,4334770.00,234.90,4.03,-1.00
III Year B-Wing,"Aug 14 2025, 14:00:00",49.99,18.34,183.40,163.70,1637.00,0.12,4333800.00,237.09,4.04,-1.00
III Year B-Wing,"Aug 14 2025, 13:00:00",50.11,17.31,173.10,162.67,1626.70,0.12,4332770.00,239.78,4.03,-1.00
III Year B-Wing,"Aug 14 2025, 11:00:00",49.96,15.95,159.50,161.31,1613.10,0.12,4331409.50,241.40,1.60,1.00
III Year B-Wing,"Aug 14 2025, 10:00:00",50.04,15.09,150.90,160.45,1604.50,0.12,4330550.00,236.23,4.41,-1.00
III Year B-Wing,"Aug 14 2025, 09:00:00",50.15,14.00,140.00,159.36,1593.60,0.12,4329460.00,237.55,7.03,-1.00
III Year B-Wing,"Aug 14 2025, 08:00:00",50.04,12.47,124.70,157.83,1578.30,0.12,4327929.50,237.43,2.97,-1.00
III Year B-Wing,"Aug 14 2025, 07:00:00",49.96,12.20,122.00,157.56,1575.60,0.12,4327659.50,241.08,0.58,0.94
